body,statusLabel,cropped,instance,type,size,name
1002590,Roughly traced,,KC-s,KC-s,16878288,
46488,,,,,21,
79380,Roughly traced,,KC-c,KC-c,14733519,
143513,,,,,5,
13748,,,,,2975866,
2306718,Roughly traced,,KC-c,KC-c,18294967,
41995,Orphan,,,,11478,
11737963,,,,,543,
400640318,Roughly traced,,KC-c,KC-c,14948484,
618773,Roughly traced,,KC-c,KC-c,16703197,
702821,Roughly traced,,KC-any,KC-any,18000046,
629408,Roughly traced,,KC-c,KC-c,13209897,
616947,Roughly traced,,KC-any,KC-any,17735160,
16381242,Roughly traced,,KC-any,KC-any,20182479,
1375269,Roughly traced,,KC-s,KC-s,20779960,
705540,Roughly traced,,KC-c,KC-c,13930920,
704675,Roughly traced,,KC-c,KC-c,13052792,
705035,Roughly traced,,KC-c,KC-c,15911521,
586842,Roughly traced,,KC-any,KC-any,21144723,
1094155,Roughly traced,,KC-c,KC-c,16241558,
819179,Roughly traced,,KC-s,KC-s,21096897,
7829386,Roughly traced,,KC-c,KC-c,20345080,
641882,Roughly traced,,KC-any,KC-any,16339005,
1113336,Roughly traced,,KC-c,KC-c,18081399,
647053,Roughly traced,,KC-c,KC-c,13872530,
2376536,Roughly traced,,KC-c,KC-c,12988895,
136411,,,,,5094,
3782254,Roughly traced,,KC-s,KC-s,23579468,
1505923,Roughly traced,,KC-s,KC-s,25572370,
7337125,Roughly traced,,KC-c,KC-c,18468183,
6311281,Roughly traced,,KC-c,KC-c,14056720,
923542,Roughly traced,,KC-c,KC-c,13336378,
1549121,Roughly traced,,KC-s,KC-s,21423914,
7568700,Roughly traced,,KC-s,KC-s,23532073,
926722,Roughly traced,,KC-c,KC-c,15561879,
997848,,,,,1386,
1014135,Roughly traced,,KC-c,KC-c,13526173,
1178165,,,,,22844,
2334988,Roughly traced,,KC-c,KC-c,14787108,
371072,,,,,6370,
196572,Roughly traced,,KC-any,KC-any,16932699,
330415,Roughly traced,,KC-c,KC-c,14678191,
1526644,Roughly traced,,KC-s,KC-s,33584674,
2339532,Roughly traced,,KC-c,KC-c,15854099,
1019875,Roughly traced,,KC-c,KC-c,15475555,
619303,Roughly traced,,KC-c,KC-c,18949759,
739517,Roughly traced,,KC-c,KC-c,18341290,
2943840,Roughly traced,,KC-s,KC-s,23321755,
1003747,,,,,4697,
1177489,Roughly traced,,KC-s,KC-s,27736052,
375109,,,,,75582,
1348899,Roughly traced,,KC-any,KC-any,17702469,
1096444,Orphan,,Others-orphan,,200495,
258532,,,,,11834,
460588,Roughly traced,,KC-s,KC-s,24834652,
1118750,Roughly traced,,KC-c,KC-c,18995259,
866829,Roughly traced,,KC-s,KC-s,25411845,
1014558,Roughly traced,,KC-any,KC-any,22281022,
2864436,Roughly traced,,KC-any,KC-any,20605369,
757620,Roughly traced,,KC-c,KC-c,18056289,
332500,Roughly traced,,KC-c,KC-c,16002610,
1042921,Roughly traced,,KC-any,KC-any,18598000,
330478,Roughly traced,,KC-c,KC-c,14477648,
371768,Roughly traced,,KC-s,KC-s,28596408,
8126426,Roughly traced,,KC-s,KC-s,17614629,
1544527,Roughly traced,,KC-s,KC-s,22384508,
1200098,Roughly traced,,KC-any,KC-any,20221141,
570561,Roughly traced,,KC-any,KC-any,21943757,
1126970,Roughly traced,,KC-c,KC-c,13795750,
141235,Roughly traced,,KC-any,KC-any,18206885,
1522184,,,,,2379,
1370653,Roughly traced,,KC-s,KC-s,24851686,
744152,Roughly traced,,KC-s,KC-s,26746919,
5751667,Roughly traced,,KC-s,KC-s,23140314,
1235323,Roughly traced,,KC-any,KC-any,19172980,
4266439,Roughly traced,,KC-any,KC-any,21413660,
408133,,,,,1747,
20673922,,,,,20536,
20654367,,,,,163393,
1158062,Roughly traced,,KC-s,KC-s,16778403,
25351578,,,,,1867,
20810755,,,,,9420,
20810877,,,,,12540,
20755269,Leaves,TRUE,Others,,270133,
20809950,,,,,4215,
1653217,Roughly traced,,Others,,9286557,
21491251,,,,,7049,
20811907,,,,,11872,
20812223,,,,,3660,
21559943,,,,,1023,
20813163,Orphan,,,,83024,
26087206,,,,,8339,
26081726,,,,,1655684,
25333086,Roughly traced,,Others,,15590543,
20812687,,,,,135378,
21495309,,,,,6047,
20812574,,,,,40779,
26081577,,,,,24231,
21492421,,,,,96826,
26086848,,,,,18845,
21492581,,,,,5451,
20275038,Roughly traced,,Others,,4542168,
21492744,,,,,10191,
26087406,,,,,29351,
20807151,,,,,287884,
21467491,,,,,710273,
21493382,,,,,12700,
26162161,,,,,1072,
21492095,Roughly traced,,Others,,7192819,
1661302,Traced,FALSE,MBON-19-A,MBON-19,151659328,
0,0.5assign,,,,0,
708733,Roughly traced,,KC-any,KC-any,17402782,
15509,Roughly traced,,KC-any,KC-any,19515375,
616861,Roughly traced,,KC-s,KC-s,24081853,
629378,Roughly traced,,KC-c,KC-c,12272966,
713358,Roughly traced,,KC-any,KC-any,20654006,
3846108,Roughly traced,,KC-s,KC-s,31032912,
712007,Orphan,,Others-orphan,,122152,
