body,statusLabel,cropped,instance,type,size,name
2996540,,,,,31625,
1791047,Roughly traced,,KC-s,KC-s,24670244,
2761728,,,,,20329,
2691835,Roughly traced,,KC-s,KC-s,25861691,
2485713,Roughly traced,,KC-s,KC-s,24365269,
2928703,,,,,3639,
2845479,,,,,7954,
3221155,,,,,1995,
2999792,Roughly traced,,KC-s,KC-s,35866672,
1680108,Roughly traced,,KC-s,KC-s,31738893,
3220314,,,,,5660,
2767608,,,,,6960,
3078592,,,,,1038,
40014,Roughly traced,,KC-s,KC-s,28152996,
2573749,Roughly traced,,KC-s,KC-s,23380197,
3143051,,,,,28985,
3135868,,,,,17957,
3373391,,,,,25231,
3233714,Orphan,,Others-orphan,,51280,
2686712,Roughly traced,,KC-s,KC-s,37805851,
3293090,Roughly traced,,KC-s,KC-s,47941526,
3034496,Roughly traced,,KC-s,KC-s,22037694,
3079072,,,,,86864,
3244822,Roughly traced,,KC-s,KC-s,27404801,
3259608,Roughly traced,,KC-s,KC-s,26123076,
3144913,,,,,7565,
3223227,,,,,2284,
3220231,,,,,3233,
3321126,Roughly traced,,KC-s,KC-s,22672862,
4316365,Roughly traced,,KC-s,KC-s,41876039,
3301612,,,,,3169,
3307811,,,,,5601,
3140205,Orphan,,Others-orphan,,114771,
1787089,Roughly traced,,KC-s,KC-s,32678876,
3307264,Roughly traced,,KC-s,KC-s,39141226,
3480420,,,,,6799,
2716298,Roughly traced,,KC-s,KC-s,16876754,
2990140,Roughly traced,,KC-s,KC-s,27521413,
3485838,,,,,2610,
3450245,Roughly traced,,Irrelevant,,6072439,
17159833,,,,,9937020,
31718358,,,,,7968,
31718600,,,,,6880,
31715992,,,,,184637,
1869350,Roughly traced,,KC-s,KC-s,39961056,
309500743,Roughly traced,,KC-s,KC-s,25168227,
1846775,,,,,4824,
1976942,Leaves,TRUE,Irrelevant,,1128944,
1926813,,,,,3409,
7787352,Roughly traced,,KC-s,KC-s,20962661,
1843915,,,,,12078,
1927644,,,,,2290,
1998708,,,,,4019,
2003329,,,,,1609,
200003822,,,,,225887,
8393500,Roughly traced,,KC-any,KC-any,20051587,
4436738,Roughly traced,,KC-s,KC-s,27003145,
2392435,,,,,3190,
2109704,,,,,10593,
2223689,,,,,15094,
2223099,,,,,10196,
2220667,Orphan,,Others-orphan,,12065,
8579320,Roughly traced,,KC-c,KC-c,15173158,
2227059,,,,,1000,
2228896,,,,,7988,
2400251,,,,,4778,
2552475,,,,,5835,
2481583,,,,,9294,
2697313,Roughly traced,,KC-s,KC-s,28347679,
200003844,,,,,848,
2353701,,,,,12,
2513771,,,,,10,
2178308,Roughly traced,,KC-s,KC-s,23715565,
2854979,,,,,770,
2554040,Orphan,,Others-orphan,,80182,
5865246,Roughly traced,,KC-s,KC-s,21959420,
2624668,,,,,9247,
2861129,Orphan,,Others-orphan,,19703,
2005147,Roughly traced,,KC-s,KC-s,40598783,
3006457,,,,,11409,
2931809,,,,,2284,
3884701,Roughly traced,,KC-s,KC-s,25320608,
2770172,,,,,24855,
2242530,Roughly traced,,KC-s,KC-s,21784033,
2686834,,,,,4381,
2694278,Roughly traced,,KC-s,KC-s,21911667,
2778540,,,,,1950,
2854913,,,,,6259,
2700704,Roughly traced,,KC-s,KC-s,28901959,
2687323,,,,,2612,
2775479,,,,,8161,
4506530,Roughly traced,,KC-s,KC-s,27945422,
3152532,Orphan,,Others-orphan,,72733,
3232560,,,,,106,
3233285,,,,,870,
200010444,,,,,17855,
3385350,Roughly traced,,KC-s,KC-s,26371430,
2131060,Roughly traced,,KC-s,KC-s,23394223,
3178644,Roughly traced,,KC-s,KC-s,31706798,
3236805,Roughly traced,,KC-s,KC-s,26004866,
2961686,Roughly traced,,KC-s,KC-s,26191665,
3315912,,,,,772,
3081457,,,,,3076,
3307933,,,,,29223,
3235950,,,,,4221,
3087080,Roughly traced,,KC-s,KC-s,27363386,
3144646,,,,,1517,
2719676,Roughly traced,,KC-s,KC-s,28429688,
2946982,Roughly traced,,KC-s,KC-s,19817862,
3384907,Roughly traced,,KC-p,KC-p,16125080,
3309019,,,,,11656,
3151852,Orphan,,Others-orphan,,51151,
200015599,Orphan,,Others-orphan,,773281,
3301750,Roughly traced,,Irrelevant,,573801,
3147647,,,,,11505,
3503107,Roughly traced,,KC-s,KC-s,25737042,
3540478,,,,,8581,
1712110,Roughly traced,,KC-s,KC-s,28930637,
1803415,Roughly traced,,KC-s,KC-s,30725236,
3545055,,,,,1502,
1775107,,,,,4778231,
1678839,Roughly traced,,KC-s,KC-s,35021076,
4802019,Roughly traced,,KC-s,KC-s,38243414,
1678850,,,,,68088,
1729874,,,,,2323,
1858019,,,,,33254,
1932617,,,,,24962,
6049173,Roughly traced,,KC-s,KC-s,19657840,
1936628,,,,,1690,
1853125,,,,,1048,
2011752,,,,,862,
2011994,,,,,15309,
13272370,Roughly traced,,KC-s,KC-s,18833548,
1858977,,,,,5067,
1784561,,,,,106160,
3687674,Roughly traced,,KC-s,KC-s,26008608,
1874811,Roughly traced,,KC-s,KC-s,21199193,
1857535,,,,,3867,
1925901,,,,,148095,
2127844,Roughly traced,,KC-s,KC-s,21063599,
2558647,,,,,8943,
2486204,,,,,4287,
1867253,Roughly traced,,KC-s,KC-s,27547135,
2547278,Orphan,,Others-orphan,,72315,
2238887,,,,,8582,
2323368,Roughly traced,,KC-any,KC-any,16999825,
2403053,,,,,1589,
2319150,,,,,2925,
2167316,Roughly traced,,KC-s,KC-s,31861671,
2484798,Roughly traced,,KC-c,KC-c,13210460,
2123102,Roughly traced,,KC-s,KC-s,26507424,
4772181,Roughly traced,,KC-s,KC-s,31842311,
2405379,,,,,1079,
2555425,,,,,5288,
2318054,,,,,1599,
4270185,Roughly traced,,KC-c,KC-c,17144185,
3011894,,,,,267,
2781376,,,,,2038,
2633610,Orphan,,Others-orphan,,5656,
2640314,Roughly traced,,KC-s,KC-s,31599342,
2787119,,,,,11204,
3013445,,,,,2536,
2789833,Orphan,,Others-orphan,,12477,
2699541,Orphan,,Others-orphan,,35438,
2871608,Roughly traced,,KC-c,KC-c,13198241,
2870129,,,,,319,
2697848,,,,,2667,
7300651,Roughly traced,,KC-s,KC-s,17613677,
2695112,Orphan,,,,4137,
200001564,,,,,9244,
2940276,Roughly traced,,KC-s,KC-s,28452270,
2855430,,,,,28394,
2965359,Roughly traced,,KC-s,KC-s,27514439,
2688745,Roughly traced,,KC-s,KC-s,40043600,
2633776,Roughly traced,,KC-s,KC-s,31612586,
2866621,,,,,554,
3013769,Roughly traced,,KC-s,KC-s,33011426,
2785044,,,,,2075,
2869676,,,,,185,
2869814,Orphan,,Others-orphan,,3830,
2855890,,,,,258577,
2867771,,,,,2745,
2778579,,,,,36032,
3086123,,,,,4144,
3403444,,,,,752,
3243782,,,,,1423,
3322554,,,,,3429,
3401270,Roughly traced,,KC-p,KC-p,21724870,
3432590,,,,,2416,
3161836,Orphan,,Others-orphan,,84613,
3243362,,,,,8649,
3976514,Roughly traced,,KC-p,KC-p,28607439,
3161598,Roughly traced,,KC-s,KC-s,33306924,
1,Roughly traced,,KC-s,KC-s,27970339,
3154498,,,,,12187,
3161141,,,,,12948,
3339088,Roughly traced,,KC-p,KC-p,31270439,
3158869,,,,,6524,
3330155,Roughly traced,,KC-p,KC-p,20138438,
3243563,,,,,6374,
3154515,Roughly traced,,KC-p,KC-p,20603054,
3265964,Roughly traced,,KC-p,KC-p,22511345,
3163053,Orphan,,Others-orphan,,33293,
8182256,Roughly traced,,KC-p,KC-p,18360910,
3323003,Roughly traced,,KC-p,KC-p,24464327,
3347816,Roughly traced,,KC-p,KC-p,29546585,
3558354,Roughly traced,,KC-p,KC-p,17364253,
1707160,,,,,105777,
1861776,Orphan,,Others-orphan,,41980,
1864228,,,,,10480,
1741788,Orphan,,Others-orphan,,83815,
1863153,,,,,3845,
2079483,Roughly traced,,KC-s,KC-s,19907891,
1868387,,,,,3271,
1865802,,,,,8012,
1861422,,,,,2614,
2013719,Orphan,,Others-orphan,,105900,
1943899,Orphan,,Others-orphan,,26955,
1948426,,,,,4772,
3797167,Roughly traced,,KC-s,KC-s,24267652,
1862657,,,,,2246,
1719099,Roughly traced,,KC-s,KC-s,29076543,
1947498,,,,,855,
1885756,,,,,4,
1791988,Roughly traced,,KC-s,KC-s,22118293,
2492689,,,,,4433,
2096872,Roughly traced,,KC-s,KC-s,25905438,
200000491,,,,,35859,
2329264,,,,,1394,
2328164,,,,,2329,
1051318,Roughly traced,,KC-any,KC-any,15599462,
2567518,,,,,2069,
2415642,,,,,1600,
2419954,,,,,9001,
5666990,Roughly traced,,KC-s,KC-s,19077555,
3041256,Roughly traced,,KC-s,KC-s,24034148,
2878774,,,,,5670,
2499172,Roughly traced,,KC-s,KC-s,20239672,
2710390,,,,,1325,
2790367,,,,,1860,
2635252,Orphan,,Others-orphan,,19234,
3171750,Roughly traced,,KC-s,KC-s,28277096,
4109866,Roughly traced,,KC-s,KC-s,27196080,
2798488,,,,,13433,
2878044,,,,,22933,
2165676,Roughly traced,,KC-p,KC-p,31206363,
2879224,,,,,6944,
3764900,Roughly traced,,KC-s,KC-s,25078264,
2875429,Roughly traced,,KC-s,KC-s,20108494,
2709232,,,,,4782,
3045884,,,,,8,
2703405,,,,,1142,
3022111,,,,,2763,
3021015,,,,,1884,
2702376,Orphan,,Others-orphan,,111565,
3252649,,,,,7443,
3185686,Roughly traced,,KC-s,KC-s,22868873,
3334342,,,,,932,
3092927,Orphan,,Others-orphan,,103197,
13081791,Roughly traced,,KC-s,KC-s,26362142,
3332370,,,,,2615,
3429346,Roughly traced,,KC-p,KC-p,20374973,
3252160,Orphan,,Others-orphan,,8684,
3250814,,,,,5288,
15481609,Roughly traced,,KC-s,KC-s,33657971,
3246912,,,,,26266,
146758153,Roughly traced,,KC-p,KC-p,17325203,
3410040,,,,,3562,
3329988,Roughly traced,,KC-p,KC-p,21683882,
3249146,,,,,23755,
3413268,Roughly traced,,KC-p,KC-p,20091717,
3403553,,,,,42748,
3167902,,,,,1086,
3594847,Roughly traced,,KC-p,KC-p,20748969,
2165505,Roughly traced,,KC-p,KC-p,17502507,
3329853,Roughly traced,,KC-p,KC-p,27753935,
200013866,,,,,884,
5258113,Roughly traced,,KC-p,KC-p,34129757,
3503635,,,,,5125,
309398712,Roughly traced,,KC-p,KC-p,18449855,
3338258,Roughly traced,,KC-p,KC-p,22891110,
5183570,Roughly traced,,KC-p,KC-p,23782603,
3590896,,,,,4941,
3677248,Roughly traced,,KC-s,KC-s,27314846,
3261669,Roughly traced,,KC-p,KC-p,16926405,
4907138,Roughly traced,,KC-p,KC-p,19582014,
3458491,Orphan,,Others-orphan,,148952,
3499732,,,,,11137,
3501717,,,,,18062,
3269733,Roughly traced,,KC-p,KC-p,22459692,
3519624,Roughly traced,,KC-p,KC-p,20156437,
3499844,Roughly traced,,KC-p,KC-p,19947298,
3184928,Roughly traced,,KC-s,KC-s,31353790,
3513018,Roughly traced,,KC-p,KC-p,23001481,
3460303,Roughly traced,,KC-p,KC-p,21041989,
1684870,,,,,61753,
1685444,Orphan,,Others-orphan,,6956,
1740879,,,,,1359,
1871713,,,,,170,
1874491,,,,,1553,
1873505,,,,,5435,
2023006,,,,,30277,
2020879,,,,,17479,
1950226,,,,,2179,
4316363,Roughly traced,,KC-s,KC-s,24913098,
2091575,,,,,3528,
2093490,,,,,1970,
1885769,,,,,7,
1949920,Roughly traced,,KC-any,KC-any,14260543,
4505935,Roughly traced,,KC-s,KC-s,32577962,
2252015,Orphan,,Others-orphan,,23847,
2501717,,,,,735,
2588289,,,,,11,
2253109,,,,,1519,
2339625,,,,,10149,
200013903,,,,,194,
2606458,,,,,4,
2346196,Orphan,,Others-orphan,,31128,
2573914,,,,,3929,
2338328,,,,,1107,
2599907,,,,,1993,
2580178,Roughly traced,,Irrelevant,,1223436,
2602264,,,,,4926,
2174961,,,,,12681,
2340899,,,,,578,
2250567,Orphan,,Others-orphan,,59697,
2430549,,,,,1139,
2963476,Roughly traced,,KC-s,KC-s,36872628,
2713814,,,,,1391,
2719466,Roughly traced,,KC-s,KC-s,26963030,
2798230,,,,,2201,
3031617,,,,,56315,
3036649,,,,,3133,
2954654,Orphan,,Others-orphan,,20761,
3030141,,,,,13536,
3858011,Roughly traced,,KC-s,KC-s,24367995,
2723530,,,,,10651,
5206501,Leaves,TRUE,KC-alpha prime,,40050823,
2802751,,,,,2200,
2801215,,,,,1571,
2885490,,,,,2124,
3426904,Roughly traced,,KC-s,KC-s,43292900,
5469273,Roughly traced,,KC-alpha prime,,50848708,
3183955,,,,,3120,
3410161,Roughly traced,,KC-p,KC-p,22773520,
3418100,,,,,595,
3185139,,,,,495,
3409150,Roughly traced,,KC-p,KC-p,20227619,
3422225,Roughly traced,,KC-p,KC-p,22690535,
3432592,,,,,914,
3176562,,,,,5282,
200013923,,,,,1442,
3177468,Orphan,,Others-orphan,,55891,
3335101,,,,,927,
3334796,,,,,15269,
5161730,Roughly traced,,KC-s,KC-s,29202149,
3511943,Roughly traced,,KC-p,KC-p,25336750,
3263027,,,,,14958,
3262643,,,,,27987,
3041626,Roughly traced,,KC-p,KC-p,24801323,
3260563,Roughly traced,,KC-p,KC-p,17632671,
3342801,Orphan,,Others-orphan,,10591,
3342668,,,,,12039,
3506044,,,,,24849,
3183914,Roughly traced,,KC-p,KC-p,24115559,
3512286,,,,,1337,
3574437,Roughly traced,,KC-p,KC-p,18243029,
4902557,Roughly traced,,KC-p,KC-p,20729271,
3504849,,,,,16968,
3461338,Roughly traced,,KC-p,KC-p,19224182,
3389207,,,,,3080547,
3510388,,,,,30514,
3519519,Roughly traced,,KC-p,KC-p,20226659,
3567896,,,,,10646,
6727617,Roughly traced,,KC-alpha prime,,26662986,
3509271,Orphan,,Others-orphan,,84853,
1718915,,,,,7538,
1745327,,,,,12546,
1745843,,,,,49201,
1765230,,,,,419,
3842546,,,,,5502,
1741378,,,,,63051,
1800689,,,,,34495,
3963377,,,,,3034,
200015407,Roughly traced,,Irrelevant,,820704,
1884759,,,,,2991,
2100029,,,,,11064,
2097916,,,,,27359,
2099114,Orphan,,Others-orphan,,4146,
2100796,,,,,2566,
4310134,,,,,940,
2100481,,,,,4556,
2348202,,,,,2356,
4375875,,,,,2771,
173727,Roughly traced,,KC-any,KC-any,20217543,
4371200,,,,,6,
3617151,Roughly traced,,KC-s,KC-s,28767446,
1878739,,,,,42645,
2507498,Orphan,,Others-orphan,,57886,
4371201,,,,,2840,
4371199,,,,,10,
4310651,,,,,3173,
4438969,,,,,11,
2348911,Orphan,,Others-orphan,,45865,
2348507,Orphan,,Others-orphan,,10406,
2511374,,,,,17449,
2432250,,,,,2195,
4565857,,,,,8981,
4469747,,,,,29126,
2581800,,,,,3076,
2510025,,,,,14463,
3041189,,,,,30119,
4721268,,,,,4148,
3043202,Orphan,,Others-orphan,,9778,
3039784,,,,,6123,
6733964,Roughly traced,,KC-s,KC-s,40383622,
5132865,Orphan,,Others-orphan,,23803,
4869213,,,,,2376,
2722921,Orphan,,Others-orphan,,189274,
3039656,,,,,3184,
4919138,,,,,2431,
3041571,,,,,16051,
2891102,,,,,10764,
3041298,Orphan,,Others-orphan,,21079,
4919368,,,,,806,
4995645,,,,,48,
2892661,,,,,1641,
3039477,,,,,4104,
3428211,,,,,14675,
3428744,,,,,11153,
5068925,Orphan,,Others-orphan,,67302,
3427792,,,,,2275,
4920235,,,,,1688,
5239137,Roughly traced,,KC-p,KC-p,19335392,
3269106,,,,,12365,
3419946,Roughly traced,,KC-p,KC-p,21227612,
3426244,Orphan,,Others-orphan,,7446,
3216710,Roughly traced,,KC-s,KC-s,35160991,
12191634,Roughly traced,,KC-p,KC-p,20144899,
3344658,,,,,4402,
3347291,Roughly traced,,KC-p,KC-p,29189480,
3345411,Roughly traced,,KC-p,KC-p,16368421,
3347301,Roughly traced,,KC-p,KC-p,24035698,
5123723,Roughly traced,,KC-p,KC-p,18037761,
3347169,,,,,7492,
4963270,Roughly traced,,KC-p,KC-p,13976993,
3343103,Roughly traced,,KC-p,KC-p,18023212,
6956902,Roughly traced,,KC-p,KC-p,17660372,
5143579,Roughly traced,,KC-p,KC-p,36336692,
5276059,Roughly traced,,KC-p,KC-p,29767213,
3517804,,,,,3780,
3513984,Roughly traced,,KC-p,KC-p,17994120,
3519315,,,,,5095,
4896166,Roughly traced,,KC-p,KC-p,23803780,
3570933,,,,,3745,
3849564,Orphan,,Others-orphan,,29323,
3898386,,,,,6,
3740768,Roughly traced,,KC-s,KC-s,24136332,
3847417,,,,,268057,
3974233,,,,,1466,
3974624,,,,,1040,
3910590,,,,,5909,
3910109,,,,,934,
3906785,,,,,5974,
3907078,,,,,21599,
3972867,,,,,57323,
3739823,,,,,618299,
3973970,,,,,14138,
4031161,,,,,8,
4380369,,,,,3186,
4105972,Orphan,,Others-orphan,,88980,
4242636,Orphan,,Others,,45235,
4100664,,,,,2620,
4379731,,,,,4132,
4317294,,,,,3289,
4379872,,,,,999,
4381163,,,,,3246,
4381463,,,,,1028,
4380680,,,,,1545,
4381731,,,,,915,
4382224,,,,,837,
4317994,,,,,1314,
4385729,,,,,434,
4387405,,,,,2721,
4319654,,,,,3573,
4380679,,,,,1441,
4384843,,,,,401,
4386685,,,,,751,
4384195,,,,,572,
4384966,,,,,2859,
4385123,,,,,2350,
4380958,,,,,2128,
4381647,,,,,999,
4438970,,,,,7,
4379509,,,,,1343,
4380580,,,,,780,
4381780,,,,,1302,
4385653,,,,,1210,
2585184,Orphan,,Others-orphan,,20793,
4846792,,,,,6622,
4472130,,,,,1215,
200015588,,,,,6294,
4727596,,,,,7573,
4725028,,,,,2356,
4791549,,,,,8423,
4791669,,,,,790,
2432570,Roughly traced,,KC-c,KC-c,16051896,
4650984,,,,,24036,
4473450,,,,,17556,
4727630,,,,,4820,
4786100,,,,,17987,
4785282,,,,,9307,
4790251,,,,,5518,
4789884,,,,,13488,
4574397,,,,,22871,
5139665,Orphan,,Others-orphan,,29529,
4788057,,,,,17465,
4791008,,,,,13809,
4787932,Orphan,,Others-orphan,,48956,
4922767,Orphan,,Others-orphan,,31653,
4875396,,,,,1853,
4930718,,,,,5323,
4923230,,,,,4822,
4922657,Orphan,,Others-orphan,,24866,
3823315,Roughly traced,,KC-s,KC-s,28219222,
4876092,,,,,5027,
4925893,,,,,2507,
4928231,,,,,3014,
4928537,,,,,6580,
4930194,,,,,259,
4026301,Roughly traced,,KC-p,KC-p,25558535,
5091030,Roughly traced,,KC-p,KC-p,16105545,
4881888,Orphan,,Others-orphan,,345678,
4904046,Roughly traced,,KC-p,KC-p,21215121,
5233013,Orphan,,Others-orphan,,24322,
5051819,Roughly traced,,KC-p,KC-p,36158317,
5440310,,,,,1856,
5270278,Roughly traced,,KC-p,KC-p,15864390,
5120812,Roughly traced,,KC-p,KC-p,21624495,
4898654,Roughly traced,,KC-p,KC-p,18576972,
5303804,Roughly traced,,KC-p,KC-p,17436322,
5490498,Roughly traced,,KC-p,KC-p,22481109,
4949553,Roughly traced,,KC-p,KC-p,17957890,
5263862,Roughly traced,,KC-p,KC-p,18328542,
5405331,Roughly traced,,KC-p,KC-p,23547736,
5268572,,,,,163,
3510176,Roughly traced,,KC-p,KC-p,27079473,
5546247,,,,,7891,
5547458,,,,,11888,
3630649,,,,,92124,
3604187,,,,,43449,
3917161,,,,,2291,
3794497,,,,,2165,
3856032,,,,,2363,
3795090,,,,,2577,
3917704,Orphan,,Others-orphan,,49014,
3917332,,,,,3446,
3978720,,,,,6150,
3977943,,,,,5025,
3976037,,,,,15893,
3855383,,,,,1733,
3978279,,,,,17561,
3731156,Roughly traced,,KC-s,KC-s,18827302,
4322763,,,,,2018,
4394086,,,,,1677,
4110046,,,,,2119,
4322514,,,,,8996,
4327843,,,,,41543,
4110704,,,,,1685,
4185427,Orphan,,Others-orphan,,11598,
4162205,,,,,14,
4179892,Orphan,,Others-orphan,,9620,
4395080,,,,,2151,
4391651,,,,,1014,
4323350,,,,,6526,
2259883,,,,,204306,
4389150,,,,,2946,
4389662,,,,,903,
4390533,,,,,2396,
4108178,Orphan,,Others-orphan,,223112,
4391408,,,,,818,
4391802,,,,,977,
4107644,,,,,2475,
4179013,,,,,1587,
4322435,,,,,3126,
4387715,,,,,1359,
4387862,,,,,2244,
4108158,,,,,7277,
4401769,Roughly traced,,KC-s,KC-s,22006858,
4075081,Orphan,,Others-orphan,,40738,
4179169,,,,,2180,
4321525,,,,,3934,
4386377,,,,,8299,
4389305,,,,,2283,
4180459,,,,,1132,
4113957,,,,,1637,
4179721,,,,,3148,
4659607,,,,,5177,
4794965,,,,,9208,
4665090,,,,,942,
4795088,,,,,1360,
4660219,,,,,3617,
4666447,,,,,9817,
4475267,,,,,10539,
4735449,,,,,1731,
4791917,,,,,7431,
200004066,,,,,862,
4584730,Orphan,,Others-orphan,,17130,
4511719,,,,,6920,
4498038,Orphan,,Others-orphan,,50585,
4513847,,,,,1278,
4797841,,,,,3245,
4511886,Orphan,,Others-orphan,,24592,
4506352,,,,,1466,
4588906,,,,,4575,
5012149,,,,,3606,
4929690,,,,,130736,
5063469,,,,,5,
4884305,,,,,499,
4930342,,,,,21595,
5456175,,,,,26163,
5234847,Roughly traced,,KC-p,KC-p,19348813,
5523385,,,,,27691,
5278508,,,,,63942,
5156346,Roughly traced,,KC-p,KC-p,20862693,
5276067,,,,,2157,
5288960,Roughly traced,,KC-p,KC-p,14132101,
5549408,,,,,2964,
3922603,,,,,6861,
3862511,,,,,8842,
3988966,,,,,7101,
3978042,,,,,211102,
3932132,,,,,30802,
3988873,Orphan,,Others-orphan,,22434,
3749873,Orphan,,Others-orphan,,93988,
3859345,Orphan,,Others-orphan,,20239,
3860706,,,,,4512,
3860528,,,,,5675,
3986061,,,,,4793,
4396264,,,,,1587,
4329901,,,,,1432,
4399689,,,,,8958,
4401888,,,,,1766,
4118895,,,,,3639,
4232002,,,,,5,
4260141,,,,,1193,
6328334,Roughly traced,,KC-s,KC-s,19786134,
4449688,,,,,462,
4399055,,,,,5909,
4330647,,,,,93,
4398637,,,,,991,
4401201,,,,,823,
4116023,,,,,2632,
4395939,,,,,9153,
400639472,,,,,20675,
4400551,,,,,2869,
4401211,,,,,2344,
4398985,,,,,3557,
4396454,,,,,1794,
4256920,,,,,3399,
4192061,,,,,3668,
4187723,,,,,7234,
4596257,Orphan,,Others-orphan,,30311,
4399663,,,,,3023,
4596570,,,,,5109,
4674339,,,,,1887,
4675664,,,,,7996,
4667985,Roughly traced,,KC-c,KC-c,12161536,
4854431,,,,,2396,
4514483,,,,,548,
4803946,,,,,870,
4949582,,,,,8465,
4948315,,,,,11300,
5158741,,,,,9347,
4889606,Orphan,,Others-orphan,,310668,
4948345,,,,,2033,
4995651,,,,,8,
4948902,,,,,4352,
5023756,,,,,13915,
4861996,Roughly traced,,KC-alpha prime,,16132215,
5186354,Roughly traced,,Others-alpha prime,,72700113,
5063474,,,,,324,
5157896,,,,,2861,
5189028,Roughly traced,,MBON-17-A-alpha prime,,110574950,
5216463,Roughly traced,,Others-alpha prime,,126441193,
36369397,,,,,1102608,
36373967,,,,,11300,
4946798,,,,,10793,
5528126,,,,,1089,
4950317,,,,,2286,
5122860,Roughly traced,,KC-p,KC-p,24594020,
5283971,,,,,15719,
5164783,Roughly traced,,MB-DPM,MB-DPM,238852383,
5161759,Roughly traced,,KC-p,KC-p,23716770,
5521969,,,,,105987,
5221589,Roughly traced,,KC-alpha prime,,32620602,
5169596,Roughly traced,,KC-alpha prime,,23816032,
5527354,,,,,4400,
5338638,,,,,32,
5282087,Orphan,,Others-orphan,,9277,
5457623,,,,,2062,
5284992,,,,,54672,
5283738,,,,,1747,
5286383,,,,,723,
5368389,Roughly traced,,KC-p,KC-p,19056730,
5373625,,,,,1712,
5290894,,,,,17171,
5372898,,,,,1567,
5377586,0.5assign,,,,4528,
3638231,,,,,2453,
5612832,,,,,11541334,
3679434,Orphan,,Others-orphan,,61310,
3711838,,,,,289463,
3867600,Orphan,,,,48565,
3932917,,,,,35046,
3803249,,,,,5771,
200015591,,,,,993,
3931439,,,,,2667,
3800918,,,,,322079,
3772888,,,,,12,
3993438,,,,,12523,
200014011,,,,,162,
3821035,Roughly traced,,KC-s,KC-s,13428419,
3802251,,,,,9444,
4040161,,,,,24687,
4267382,Orphan,,Others,,35868,
4338543,,,,,2753,
4337877,,,,,5436,
4336301,,,,,906,
4267515,,,,,2836,
4405962,,,,,2158,
4409122,,,,,2055,
4402531,,,,,1027,
4406096,Orphan,,Others-orphan,,34637,
4162207,,,,,1856,
4407623,,,,,1129,
4406200,,,,,903,
200013953,,,,,2566,
4194761,,,,,217442,
4196002,Orphan,,Others-orphan,,19144,
4407389,,,,,1660,
4265096,,,,,3570,
4403274,,,,,1200,
4402423,,,,,632,
4402078,,,,,3435,
4337016,,,,,15787,
4371210,,,,,2,
4198914,,,,,3624,
4197655,Orphan,,Others-orphan,,10692,
4197669,Orphan,,Others-orphan,,47180,
4404455,,,,,424,
4525518,,,,,2993,
4524342,,,,,7323,
4128076,,,,,5376,
4271884,,,,,1519,
4406473,,,,,2930,
4406019,,,,,1421,
4129568,,,,,1179,
4604040,,,,,3968,
4528991,,,,,2219,
4530652,,,,,4926,
4716138,,,,,15,
4808033,,,,,21751,
4808202,,,,,32076,
4527425,,,,,5128,
4528608,,,,,16534,
4747714,0.5assign,,,,3703,
4744344,0.5assign,,,,2640,
4811351,,,,,3091,
4524850,,,,,4771,
4679343,,,,,984,
200004070,0.5assign,,,,6612,
4528919,,,,,6769,
4807464,,,,,52483,
4600312,,,,,2457,
4527766,,,,,2148,
4951013,,,,,1707,
4798220,Orphan,,Others-orphan,,101923,
5026239,,,,,4517,
4529114,,,,,25922,
4954941,,,,,2634,
4955078,,,,,496,
4955081,,,,,12085,
4890264,,,,,1260938,
4995656,,,,,2,
4951883,0.5assign,,,,2081,
4953348,,,,,38571,
5092092,,,,,1842,
4957643,,,,,2481,
4956334,,,,,4634,
4858994,Roughly traced,,KC-alpha prime,,19911862,
200014524,,,,,7294,
36374085,,,,,597757,
5218003,Roughly traced,,KC-alpha prime,,24196671,
4834094,Roughly traced,,MBON-17-B-alpha prime,,88253618,
5031687,Orphan,,Others-orphan,,20597,
4888732,Orphan,,Others-orphan,,119974,
4950813,,,,,878,
5299631,Roughly traced,,KC-p,KC-p,20944082,
5338639,,,,,13,
5475605,,,,,5722,
5534549,,,,,943,
5533156,,,,,10454,
5518058,Roughly traced,,KC-alpha prime,,31595887,
5475807,,,,,3116,
5381905,,,,,16909,
5297979,,,,,2274,
5387180,,,,,8818,
5302750,,,,,909,
5303687,,,,,2806,
5506300,,,,,5,
5299841,,,,,633,
5383183,Orphan,,Others-orphan,,9022,
6859437,Roughly traced,,KC-alpha prime,,33646631,
3684442,,,,,4653,
3687073,,,,,5707,
3871813,,,,,18765,
4004068,,,,,21758,
3872287,,,,,22026,
4003119,,,,,6117,
3937063,,,,,4697,
3876115,,,,,1299,
4002076,,,,,1519,
4000891,Leaves,TRUE,Irrelevant,,30409,
4004693,,,,,1666,
3759976,,,,,14075,
3810553,,,,,3117,
4412022,,,,,1043,
4046994,,,,,114582,
4045029,,,,,21288,
4267503,,,,,23460,
160856172,,,,,4713,
4131943,,,,,12946,
4083511,,,,,5194,
4132077,,,,,7692,
4204886,,,,,4407,
4206142,,,,,1342,
4348035,,,,,456,
4416350,,,,,2146,
4409608,,,,,1779,
160856173,,,,,4039,
4342267,,,,,2540,
4278911,,,,,2652,
4346760,,,,,4449,
4347143,,,,,5481,
4413059,,,,,2379,
4277965,,,,,525,
4130021,Orphan,,Others-orphan,,26079,
4412172,,,,,951,
4135533,,,,,7467,
4415209,,,,,5021,
4416393,,,,,551,
4410853,,,,,17481,
